day,cash
299,17787900.78
300,17756903.09
301,17705800.61
302,17651942.64
303,17660318.48
304,17695552.52
305,17750351.33
306,17826613.05
307,17844882.23
308,17841183.22
309,17881862.44
310,17847175.92
311,17820248.68
312,17801106.66
313,17782609.5
314,17764836.73
315,17732207.5
316,17691951.11
317,17652046.39
318,17610124.17
319,17576261.17
320,17560849.91
321,17546683.66
322,17508536.32
323,17466891.79
324,17426858.49
325,17388216.49
326,17353229.18
327,17332542.55
328,17310181.07
329,17277956.66
330,17244824.27
331,17210228.35
332,17179642.3
333,17159681.69
334,17154575.97
335,17154632.56
336,17147771.65
337,17131068.98
338,17115581.93
339,17104814.92
340,17089528.97
341,17079640.14
342,17067511.26
343,17052501.3
344,17036350.56
345,17020679.03
346,17005827.81
347,16993114.5
348,16982530.42
349,16973887.34
350,16957430.88
351,16940538.97
352,16924417.66
353,16907961.15
354,16892990.39
355,16879867.26
356,16866922.7
357,16851738.96
358,16839780.66
359,16827545.36
360,16815829.89
361,16804825.64
362,16796408.54
363,16786526.54
364,16774884.1
365,16764371.15
366,16753818.95
367,16743207.91
368,16733234.18
369,16724212.3
370,16715076.78
371,16705352.38
372,16695535.02
373,16686250.83
374,16676946.02
375,16667637.27
376,16659443.36
377,16650807.38
378,16641689.34
379,16633595.67
380,16625543.27
381,16617406.79
382,16610308.87
383,16602887.04
384,16595644.13
385,16587847.54
386,16580403.92
387,16572352.75
388,16564637.33
389,16557176.76
390,16549600.63
391,16542045.45
392,16534691.18
393,16527439.22
394,16520187.8
395,16513847.32
396,16507052.07
397,16500166.2
398,16493281.35
399,16486346.61
400,16479108.71
401,16471968.02
402,16464622.16
403,16457799.2
404,16450862.94
405,16443652.43
406,16436552.93
407,16429267.78
408,16421808.89
409,16414640.53
410,16407390.5
411,16400188.26
412,16393590.44
413,16386456.36
414,16379354.68
415,16372024.47
416,16365040.68
417,16357642.63
418,16350559.32
419,16343590.73
420,16336254.29
421,16328840.09
422,16321529.29
423,16314288.95
424,16307022.12
425,16300450.19
426,16293331.86
427,16286193.16
428,16279036.29
429,16271981.79
430,16264610.42
431,16257375.13
432,16250108.87
433,16243063.49
434,16235843.32
435,16228610.89
436,16221424.13
437,16214084.4
438,16206763.04
439,16199507.67
440,16192255.32
441,16184886.1
442,16177728.25
443,16170516.01
444,16163313.62
445,16155909.87
446,16148730.04
447,16141443.63
448,16134161.88
449,16127090.74
450,16119741.3
451,16112400.78
452,16105182.74
453,16098013.31
454,16090789.63
455,16083907.21
456,16076745.69
457,16069635.82
458,16062367.39
459,16055388.55
460,16048119.63
461,16040960.93
462,16033708.27
463,16026445.0
464,16019237.25
465,16011925.81
466,16004627.8
467,15997312.3
468,15989997.72
469,15982651.93
470,15975300.31
471,15967946.59
472,15960597.49
473,15953262.46
474,15945957.12
475,15938654.63
476,15931326.59
477,15923995.37
478,15916661.72
479,15909335.82
480,15902024.63
481,15894732.01
482,15887440.04
483,15880131.34
484,15872821.15
485,15865512.02
486,15858214.96
487,15850924.75
488,15843647.51
489,15836370.31
490,15829090.27
491,15821812.37
492,15814538.43
493,15807268.03
494,15799999.36
495,15792733.47
496,15785468.06
497,15778203.06
498,15770938.06
499,15763673.06
500,15756408.06
